CD_PACOTE,CD_ITEM,CD_PREST,TP_ACOMODACAO,DT_INI_VIGENCIA,IND_ABRANG_GEOGR,NR_IDADE_MIN,NR_IDADE_MAX,FG_PACOTE_A1200,FG_CIRURGICO,ID_ORIGEM
87000036,99999919,,9,01/12/2020,1,,,S,,1782936
87000042,99999919,,9,01/12/2020,1,,,S,,1782944
87000038,99999919,,9,01/09/2020,1,,,S,,1782948
85009003,99999919,,9,01/09/2020,1,,,S,,1782949
87000035,99999919,,9,01/01/2019,1,,,S,,1782956
87000034,99999919,,9,01/01/2019,1,,,S,,1782957
87000034,99999927,,9,01/01/2019,1,,,S,,1782957
87000035,99999927,,9,01/01/2019,1,,,S,,1782956
85009003,99999927,,9,01/09/2020,1,,,S,,1782949
87000038,99999927,,9,01/09/2020,1,,,S,,1782948
87000042,99999927,,9,01/12/2020,1,,,S,,1782944
87000036,99999927,,9,01/12/2020,1,,,S,,1782936
87000039,99999927,,9,01/09/2020,1,,,S,,1782902
87000032,99999927,,9,01/09/2020,1,,,S,,1782896
87000031,99999927,,9,01/09/2020,1,,,S,,1782895
87000030,99999927,,9,01/09/2020,1,,,S,,1782893
87000029,99999927,,9,01/09/2020,1,,,S,,1782892
85009004,99999927,,9,01/12/2020,1,,,S,,1782889
85003013,99999927,,9,01/10/2020,1,,,S,,1782853
85003012,99999927,,9,01/10/2020,1,,,S,,1782852
85003011,99999927,,9,01/10/2020,1,,,S,,1782851
85003010,99999927,,9,01/10/2020,1,,,S,,1782850
85003009,99999927,,9,01/10/2020,1,,,S,,1782849
85003007,99999927,,9,01/10/2020,1,,,S,,1782848
85003008,99999927,,9,01/10/2020,1,,,S,,1782847
86000015,99999927,,9,01/01/2020,1,,,S,,1760728
87000027,99999927,,9,01/01/2020,1,,,S,,1760723
87000024,99999927,,9,01/01/2020,1,,,S,,1760722
85003016,99999927,,9,01/02/2023,1,,,S,,2162363
85003014,99999927,,9,01/04/2022,1,,,S,,2057760
85003015,99999927,,9,01/09/2020,1,,,S,,1919826
85009002,99999927,,9,01/01/2019,1,,,S,,1782970
87000037,99999927,,9,01/01/2019,1,,,S,,1782969
87000033,99999927,,9,01/01/2019,1,,,S,,1782960
87000033,99999935,,9,01/01/2019,1,,,S,,1782960
87000037,99999935,,9,01/01/2019,1,,,S,,1782969
85009002,99999935,,9,01/01/2019,1,,,S,,1782970
85003015,99999935,,9,01/09/2020,1,,,S,,1919826
85003014,99999935,,9,01/04/2022,1,,,S,,2057760
85003016,99999935,,9,01/02/2023,1,,,S,,2162363
87000024,99999935,,9,01/01/2020,1,,,S,,1760722
87000027,99999935,,9,01/01/2020,1,,,S,,1760723
86000015,99999935,,9,01/01/2020,1,,,S,,1760728
85003008,99999935,,9,01/10/2020,1,,,S,,1782847
