CD_PLANO,CD_MUNIC,TP_SITUACAO,ID_ORIGEM
1647501J,3170107,I,67
1647501J,3170206,I,68
1647501K,3106200,I,72
1647501K,3170107,I,70
1647501K,3170206,I,71
1647501K1,3106200,I,75
1647501K1,3170107,I,73
1647501K1,3170206,I,74
1647501KA,3106200,I,78
1647501KA,3170107,I,76
1647501KA,3170206,I,77
1647501KB,3106200,I,81
1647501KB,3170107,I,79
1647501KB,3170206,I,80
1647501KC,3106200,I,84
1647501KC,3170107,I,82
1647501KC,3170206,I,83
1647501KD,3106200,I,87
1647501KD,3170206,I,86
1647501KD,3170107,I,85
1647501KF,3106200,I,90
1647501KF,3170107,I,88
1647501KF,3170206,I,89
1647501KG,3106200,I,93
1647501KG,3170107,I,91
1647501KG,3170206,I,92
1647501KH,3106200,I,96
1647501KH,3170107,I,94
1647501KH,3170206,I,95
1647501KI,3106200,I,99
1647501KI,3170206,I,98
1647501KI,3170107,I,97
1647501KJ,3106200,I,102
1647501KJ,3170206,I,101
1647501KJ,3170107,I,100
1647501L,3106200,I,105
1647501L,3170206,I,104
1647501L,3170107,I,103
1647501L1,3106200,I,108
1647501L1,3170107,I,106
1647501L1,3170206,I,107
1647501LB,3106200,I,111
1647501LB,3170206,I,110
1647501LB,3170107,I,109
1647501LC,3106200,I,114
1647501LC,3170107,I,112
1647501LC,3170206,I,113
1647501LD,3106200,I,117
1647501LD,3170107,I,115
1647501LD,3170206,I,116
1647501LE,3106200,I,120
1647501LE,3170107,I,118
1647501LE,3170206,I,119
1647501LF,3106200,I,123
1647501LF,3170107,I,121
1647501LF,3170206,I,122
1647501LG,3106200,I,126
1647501LG,3170107,I,124
1647501LG,3170206,I,125
1647501LH,3106200,I,129
1647501LH,3170107,I,127
1647501LH,3170206,I,128
1647501LI,3106200,I,132
1647501LI,3170107,I,130
1647501LI,3170206,I,131
1647501LJ,3106200,I,135
1647501LJ,3170107,I,133
1647501LJ,3170206,I,134
1647501LK,3106200,I,138
1647501LK,3170107,I,136
1647501LK,3170206,I,137
1647501M,3106200,I,141
1647501M,3170107,I,139
1647501M,3170206,I,140
1647501MA,3106200,I,144
1647501MA,3170107,I,142
1647501MA,3170206,I,143
1647501N,3106200,I,147
1647501N,3170107,I,145
1647501N,3170206,I,146
1647501O,3106200,I,150
1647501O,3170107,I,148
1647501O,3170206,I,149
1647501P,3106200,I,153
1647501P,3170107,I,151
1647501P,3170206,I,152
1647501Q,3106200,I,156
1647501Q,3170206,I,155
1647501Q,3170107,I,154
1647501QA,3106200,I,159
1647501QA,3170107,I,157
1647501QA,3170206,I,158
1647501R,3106200,I,162
1647501R,3170107,I,160
1647501R,3170206,I,161
1647501T,3106200,I,165
1647501T,3170107,I,163
1647501T,3170206,I,164
1647501U,3106200,I,168
1647501U,3170107,I,166
1647501U,3170206,I,167
16475021,3106200,I,171
16475021,3170107,I,169
16475021,3170206,I,170
16475029,3106200,I,174
16475029,3170107,I,172
16475029,3170206,I,173
1647502A,3106200,I,177
1647502A,3170107,I,175
1647502A,3170206,I,176
1647502A1,3106200,I,180
1647502A1,3170107,I,178
1647502A1,3170206,I,179
1647502AA,3106200,I,183
1647502AA,3170107,I,181
1647502AA,3170206,I,182
1647502B,3106200,I,186
1647502B,3170107,I,184
1647502B,3170206,I,185
1647502BB,3106200,I,189
1647502BB,3170107,I,187
1647502BB,3170206,I,188
1647502C,3106200,I,192
1647502C,3170107,I,190
1647502C,3170206,I,191
1647502CC,3106200,I,195
1647502CC,3170107,I,193
1647502CC,3170206,I,194
1647502D,3106200,I,198
1647502D,3170107,I,196
1647502D,3170206,I,197
1647502DD,3106200,I,201
1647502DD,3170206,I,200
1647502DD,3170107,I,199
1647502E,3106200,I,204
1647502E,3170107,I,202
1647502E,3170206,I,203
1647502E1,3106200,I,207
1647502E1,3170107,I,205
1647502E1,3170206,I,206
1647502EE,3106200,I,210
1647502EE,3170107,I,208
1647502EE,3170206,I,209
1647502F,3106200,I,213
1647502F,3170107,I,211
1647502F,3170206,I,212
1647502FF,3106200,I,216
1647502FF,3170107,I,214
1647502FF,3170206,I,215
1647502G,3106200,I,219
1647502G,3170206,I,218
1647502G,3170107,I,217
1647502GG,3106200,I,222
1647502GG,3170206,I,221
1647502GG,3170107,I,220
1647502H,3106200,I,225
1647502H,3170107,I,223
1647502H,3170206,I,224
1647502HH,3106200,I,228
1647502HH,3170206,I,227
1647502HH,3170107,I,226
1647502I,3106200,I,231
1647502I,3170107,I,229
1647502I,3170206,I,230
1647502J,3106200,I,234
1647502J,3170206,I,233
1647502J,3170107,I,232
1647502K,3106200,I,237
1647502K,3170107,I,235
1647502K,3170206,I,236
1647502K1,3106200,I,240
1647502K1,3170107,I,238
1647502K1,3170206,I,239
1647502KA,3106200,I,243
1647502KA,3170107,I,241
1647502KA,3170206,I,242
1647502KB,3106200,I,246
1647502KB,3170107,I,244
1647502KB,3170206,I,245
1647502KC,3106200,I,249
1647502KC,3170107,I,247
1647502KC,3170206,I,248
1647502KD,3106200,I,252
1647502KD,3170107,I,250
1647502KD,3170206,I,251
1647502KF,3106200,I,255
1647502KF,3170107,I,253
1647502KF,3170206,I,254
1647502KG,3106200,I,258
1647502KG,3170107,I,256
1647502KG,3170206,I,257
1647502KH,3106200,I,261
1647502KH,3170107,I,259
1647502KH,3170206,I,260
1647502KI,3106200,I,264
1647502KI,3170107,I,262
1647502KI,3170206,I,263
1647502KJ,3106200,I,267
1647502KJ,3170107,I,265
1647502KJ,3170206,I,266
1647502L,3106200,I,270
1647502L,3170107,I,268
1647502L,3170206,I,269
1647502L1,3106200,I,273
1647502L1,3170107,I,271
1647502L1,3170206,I,272
1647502LB,3106200,I,276
1647502LB,3170107,I,274
1647502LB,3170206,I,275
1647502LC,3106200,I,279
1647502LC,3170206,I,278
1647502LC,3170107,I,277
1647502LD,3106200,I,282
1647502LD,3170107,I,280
1647502LD,3170206,I,281
1647502LE,3106200,I,285
1647502LE,3170107,I,283
1647502LE,3170206,I,284
1647502LF,3106200,I,288
1647502LF,3170107,I,286
1647502LF,3170206,I,287
1647502LG,3106200,I,291
1647502LG,3170107,I,289
1647502LG,3170206,I,290
1647502LH,3106200,I,294
1647502LH,3170107,I,292
1647502LH,3170206,I,293
1647502LI,3106200,I,297
1647502LI,3170107,I,295
1647502LI,3170206,I,296
1647502LJ,3106200,I,300
1647502LJ,3170206,I,299
1647502LJ,3170107,I,298
1647502M,3106200,I,303
1647502M,3170107,I,301
1647502M,3170206,I,302
1647502MA,3106200,I,306
1647502MA,3170107,I,304
1647502MA,3170206,I,305
1647502N,3106200,I,309
1647502N,3170107,I,307
1647502N,3170206,I,308
1647502O,3106200,I,312
1647502O,3170107,I,310
1647502O,3170206,I,311
1647502P,3106200,I,315
1647502P,3170206,I,314
1647502P,3170107,I,313
1647502Q,3106200,I,318
1647502Q,3170107,I,316
1647502Q,3170206,I,317
1647502QA,3106200,I,321
1647502QA,3170107,I,319
1647502QA,3170206,I,320
1647502R,3106200,I,324
1647502R,3170107,I,322
1647502R,3170206,I,323
1647502T,3106200,I,327
1647502T,3170107,I,325
1647502T,3170206,I,326
1647502U,3106200,I,330
1647502U,3170107,I,328
1647502U,3170206,I,329
16475031,3106200,I,333
16475031,3170107,I,331
16475031,3170206,I,332
16475039,3106200,I,336
16475039,3170107,I,334
16475039,3170206,I,335
1647503A,3106200,I,339
1647503A,3170107,I,337
1647503A,3170206,I,338
1647503A1,3106200,I,342
1647503A1,3170107,I,340
1647503A1,3170206,I,341
1647503AA,3106200,I,345
1647503AA,3170206,I,344
1647503AA,3170107,I,343
1647503B,3106200,I,348
1647503B,3170206,I,347
1647503B,3170107,I,346
1647503BB,3106200,I,351
1647503BB,3170107,I,349
1647503BB,3170206,I,350
1647503C,3106200,I,354
1647503C,3170107,I,352
1647503C,3170206,I,353
1647503CC,3106200,I,357
1647503CC,3170206,I,356
1647503CC,3170107,I,355
1647503D,3106200,I,360
1647503D,3170107,I,358
1647503D,3170206,I,359
1647503DD,3106200,I,363
1647503DD,3170107,I,361
1647503DD,3170206,I,362
1647503E,3106200,I,366
1647503E,3170206,I,365
1647503E,3170107,I,364
1647503E1,3106200,I,369
1647503E1,3170107,I,367
1647503E1,3170206,I,368
1647503EE,3106200,I,372
1647503EE,3170107,I,370
1647503EE,3170206,I,371
1647503F,3106200,I,375
