CD_GRUPO,CD_ITEM,ID_ORIGEM
28209,30721210,23811
28224,30722012,23816
28224,30722039,23818
27531,30722136,23825
28224,30722152,23827
27531,30722217,23832
28224,30722233,23834
27574,30722250,23836
28224,30722306,23841
27616,30722322,23843
27531,30722462,23852
27616,30722586,23859
27531,30722608,23861
27626,30722675,23866
27531,30722705,23868
27531,30722780,23875
27616,30722802,23877
28265,30723027,23886
28265,30723086,23891
28278,30724031,23893
28278,30724112,23900
23781,30724139,23902
28278,30724201,23909
23781,30724236,23911
25411,30725038,23916
23781,30725062,23918
28297,30725143,23925
28314,30726018,23927
23781,30726093,23934
28314,30726115,23936
28314,30726166,23941
28314,30726182,23943
23781,30726255,23950
28314,30726280,23952
28351,30727090,23959
28351,30727120,23961
28351,30727170,23966
23781,30728029,23968
28367,30728126,23975
28367,30728142,23977
28381,30729041,23984
28381,30729068,23986
28381,30729122,23991
28381,30729157,23993
28381,30729238,24000
28841,30729254,24002
28841,30729327,24009
28404,30730058,24016
24011,30730074,24018
28412,30731038,24025
28412,30731054,24027
27574,30731127,24034
27574,30731143,24036
27574,30731194,24041
28412,30731216,24043
28412,30731232,24045
24011,30732123,24050
28999,30801079,24059
24052,30802024,24066
28963,30803012,24068
28619,30803039,24070
28963,30803080,24075
28963,30803101,24077
28963,30804027,24084
28985,30804043,24086
28985,30804116,24093
24052,30804140,24095
24052,30805082,24102
28536,30806011,24109
27175,30806038,24111
25468,30901065,24118
25468,30901103,24120
25454,30902053,24125
25461,30903025,24127
25478,30904080,24134
25498,30904102,24136
25478,30906032,24143
25329,30906059,24145
25329,30906121,24150
25329,30906148,24152
25329,30906229,24159
25329,30906253,24161
25329,30906350,24168
25329,30906393,24170
27636,30906440,24175
25329,30906466,24177
25310,30907098,24184
25310,30907136,24186
25387,30908060,24193
25387,30908086,24195
25403,30910129,24209
25525,30911036,24211
25525,30911150,24218
25570,30912032,24220
25570,30912180,24227
29404,30914060,24236
25478,30915015,24243
25478,30915031,24245
